timestamp,P_PV,P_Load,unit_load_cost,unit_prod_price
2023-01-01 00:00:00,0,1500,0.1419,0.05
2023-01-01 00:30:00,0,1500,0.1419,0.05
2023-01-01 01:00:00,0,1500,0.1419,0.05
2023-01-01 01:30:00,0,1500,0.1419,0.05
2023-01-01 02:00:00,0,1500,0.1419,0.05
2023-01-01 02:30:00,0,1500,0.1419,0.05
2023-01-01 03:00:00,0,1500,0.1419,0.05
2023-01-01 03:30:00,0,1500,0.1419,0.05
2023-01-01 04:00:00,0,1500,0.1419,0.05
2023-01-01 04:30:00,0,1500,0.1419,0.05
2023-01-01 05:00:00,0,1500,0.1419,0.05
2023-01-01 05:30:00,0,1500,0.1419,0.05
2023-01-01 06:00:00,1000,1500,0.1419,0.05
2023-01-01 06:30:00,2000,1500,0.1419,0.05
2023-01-01 07:00:00,3000,1500,0.1419,0.05
2023-01-01 07:30:00,4000,1500,0.1419,0.05
2023-01-01 08:00:00,5000,1500,0.1419,0.05
2023-01-01 08:30:00,6000,1500,0.1419,0.05
2023-01-01 09:00:00,7000,1500,0.1419,0.05
2023-01-01 09:30:00,8000,1500,0.1419,0.05
2023-01-01 10:00:00,9000,1500,0.1419,0.05
2023-01-01 10:30:00,10000,1500,0.1419,0.05
2023-01-01 11:00:00,11000,1500,0.1419,0.05
2023-01-01 11:30:00,12000,1500,0.1419,0.05
2023-01-01 12:00:00,13000,1500,0.1419,0.05
2023-01-01 12:30:00,14000,1500,0.1419,0.05
2023-01-01 13:00:00,15000,1500,0.1419,0.05
2023-01-01 13:30:00,16000,1500,0.1419,0.05
2023-01-01 14:00:00,17000,1500,0.1419,0.05
2023-01-01 14:30:00,18000,1500,0.1419,0.05
2023-01-01 15:00:00,19000,1500,0.1419,0.05
2023-01-01 15:30:00,20000,1500,0.1419,0.05
2023-01-01 16:00:00,21000,1500,0.1419,0.05
2023-01-01 16:30:00,22000,1500,0.1419,0.05
2023-01-01 17:00:00,23000,1500,0.1419,0.05
2023-01-01 17:30:00,24000,1500,0.1419,0.05
2023-01-01 18:00:00,25000,1500,0.1419,0.05
2023-01-01 18:30:00,26000,1500,0.1419,0.05
2023-01-01 19:00:00,27000,1500,0.1419,0.05
2023-01-01 19:30:00,28000,1500,0.1419,0.05
2023-01-01 20:00:00,29000,1500,0.1419,0.05
2023-01-01 20:30:00,30000,1500,0.1419,0.05
2023-01-01 21:00:00,31000,1500,0.1419,0.05
2023-01-01 21:30:00,32000,1500,0.1419,0.05
2023-01-01 22:00:00,33000,1500,0.1419,0.05
2023-01-01 22:30:00,34000,1500,0.1419,0.05
2023-01-01 23:00:00,35000,1500,0.1419,0.05
2023-01-01 23:30:00,36000,1500,0.1419,0.05
